Genreid,Count
752,103
753,81
754,27
755,23
756,49
757,55
758,59
759,67
760,50
761,60
762,62
763,80
764,61
765,66
766,32
767,33
768,63
769,83
770,40
771,93
772,86
773,35
774,76
775,82
776,80
777,76
778,44
779,26
780,65
781,54
782,37
783,70
784,68
785,89
786,48
787,60
788,50
789,34
790,65
791,43
792,43
793,64
794,44
795,29
796,72
797,25
798,81
799,59
800,76
801,63
802,74
803,56
804,53
805,37
806,64
807,49
808,78
810,40
811,64
812,53
813,59
814,73
815,70
816,95
817,38
818,33
819,32
820,85
821,48
822,35
823,43
824,54
825,72
826,41
827,50
828,46
829,71
830,96
831,26
832,82
833,30
834,84
835,84
836,44
837,65
838,82
839,56
840,63
841,93
842,20
843,51
844,78
845,86
846,34
847,29
848,81
849,19
850,37
851,32
852,50
853,33
854,58
855,42
